origem,destino,tipo_relacionamento,peso,data,observacoes
João Silva,Maria Santos,conhece,5,2024-01-15,Amigos de longa data
João Silva,ABC-1234,possui,10,2024-01-20,Veículo registrado
Maria Santos,123.456.789-00,identifica,8,2024-01-15,CPF da pessoa
ABC-1234,Centro Comercial,estacionado_em,3,2024-01-25,Local frequente
Maria Santos,Centro Comercial,frequenta,7,2024-01-25,Visita regular
João Silva,Centro Comercial,frequenta,6,2024-01-25,Visita ocasional
123.456.789-00,Centro Comercial,identificado_em,4,2024-01-25,Registro de entrada
Pedro Oliveira,João Silva,trabalha_com,9,2024-01-10,Colega de trabalho
Pedro Oliveira,Maria Santos,conhece,4,2024-01-12,Conhecido através de João
Pedro Oliveira,XYZ-9876,possui,8,2024-01-18,Veículo próprio
XYZ-9876,Centro Comercial,estacionado_em,2,2024-01-26,Visita única
Ana Costa,Pedro Oliveira,supervisiona,10,2024-01-05,Chefe direto
Ana Costa,Centro Comercial,gerencia,9,2024-01-01,Responsável pelo local
Ana Costa,João Silva,contrata,7,2024-01-08,Processo seletivo
Ana Costa,Maria Santos,contrata,6,2024-01-08,Processo seletivo
Centro Comercial,987.654.321-00,registra,5,2024-01-01,CNPJ da empresa
987.654.321-00,Ana Costa,representa,10,2024-01-01,Proprietária
Carlos Mendes,João Silva,investiga,8,2024-01-30,Investigador policial
Carlos Mendes,Maria Santos,investiga,7,2024-01-30,Investigador policial
Carlos Mendes,Centro Comercial,investiga,6,2024-01-30,Local de interesse
Carlos Mendes,Pedro Oliveira,investiga,5,2024-01-30,Investigador policial
Carlos Mendes,Ana Costa,investiga,4,2024-01-30,Investigador policial
DEF-4567,João Silva,emprestado_para,3,2024-01-22,Veículo emprestado
DEF-4567,Maria Santos,emprestado_para,2,2024-01-22,Veículo emprestado
GHI-7890,Pedro Oliveira,emprestado_para,4,2024-01-24,Veículo emprestado
GHI-7890,Ana Costa,emprestado_para,3,2024-01-24,Veículo emprestado
João Silva,111.222.333-44,identifica,6,2024-01-16,CPF do pai
Maria Santos,222.333.444-55,identifica,5,2024-01-16,CPF da mãe
Pedro Oliveira,333.444.555-66,identifica,4,2024-01-16,CPF do irmão
Ana Costa,444.555.666-77,identifica,3,2024-01-16,CPF do cônjuge
Centro Comercial,Rua das Flores 123,localizado_em,10,2024-01-01,Endereço físico
Centro Comercial,(11) 3333-4444,contato,8,2024-01-01,Telefone principal
Centro Comercial,centro@exemplo.com,contato,7,2024-01-01,Email corporativo
João Silva,(11) 99999-1111,contato,9,2024-01-15,Telefone pessoal
Maria Santos,(11) 99999-2222,contato,8,2024-01-15,Telefone pessoal
Pedro Oliveira,(11) 99999-3333,contato,7,2024-01-15,Telefone pessoal
Ana Costa,(11) 99999-4444,contato,6,2024-01-15,Telefone pessoal
Carlos Mendes,(11) 99999-5555,contato,5,2024-01-15,Telefone profissional
João Silva,joao.silva@email.com,contato,8,2024-01-15,Email pessoal
Maria Santos,maria.santos@email.com,contato,7,2024-01-15,Email pessoal
Pedro Oliveira,pedro.oliveira@email.com,contato,6,2024-01-15,Email pessoal
Ana Costa,ana.costa@email.com,contato,5,2024-01-15,Email pessoal
Carlos Mendes,carlos.mendes@policia.gov.br,contato,4,2024-01-15,Email profissional
